iter	Passed	Remaining
0	4400	2195797
1	10517	2618784
2	16305	2701247
3	22102	2740665
4	27226	2695466
5	27790	2288092
6	28479	2005777
7	29328	1803682
8	30194	1647298
9	31009	1519478
10	31872	1416890
11	32878	1337060
12	33929	1271056
13	34952	1213348
14	35839	1158821
15	36760	1111992
16	37678	1070510
17	38544	1032144
18	39440	998458
19	39786	954885
20	40684	927990
21	41529	902319
22	42460	880598
23	43397	860712
24	44393	843474
25	45254	825030
26	46294	811008
27	47295	797258
28	48222	783192
29	49101	769252
30	50018	756731
31	50921	744732
32	51807	733158
33	52179	715170
34	53081	705225
35	53912	694868
36	54821	686014
37	55689	677067
38	55970	661595
39	56840	653668
40	57774	646796
41	58658	639655
42	59503	632401
43	60411	626081
44	60652	613260
45	60802	600093
46	64208	618864
47	64828	610469
48	65374	601715
49	65931	593379
50	66461	585121
51	67008	577303
52	67534	569580
53	68116	562591
54	68758	556318
55	69312	549547
56	69851	542884
57	70004	533486
58	70538	527248
59	71086	521297
60	71627	515485
61	71639	506098
62	72213	500910
63	72779	495810
64	72827	487381
65	73351	482340
66	73896	477569
67	74419	472783
68	74981	468360
69	75597	464385
70	76146	460097
71	76676	455801
72	77198	451560
73	77232	444606
74	77759	440636
75	78294	436801
76	78825	433027
77	79366	429394
78	79915	425881
79	80453	422381
80	80464	416228
81	80982	412811
82	81501	409469
83	82011	406152
84	82543	403005
85	83099	400035
86	83618	396948
87	84166	394050
88	84728	391276
89	85282	388507
90	85822	385730
91	85888	380897
92	86435	378270
93	86981	375685
94	87592	373418
95	88140	370926
96	88680	368433
97	89204	365919
98	89298	361704
99	89841	359364
100	90409	357160
101	90965	354943
102	91007	350775
103	91568	348666
104	92110	346511
105	92658	344409
106	93177	342232
107	93717	340159
108	94246	338078
109	94839	336249
110	94917	332638
111	95510	330874
112	96120	329191
113	96711	327462
114	97323	325821
115	97913	324128
116	98508	322467
117	99107	320840
118	99729	319302
119	100350	317775
120	100959	316228
121	100976	312862
122	101560	311288
123	101632	308176
124	102218	306655
125	102840	305257
126	103472	303900
127	103485	300753
128	104018	299155
129	104538	297533
130	105064	295944
131	105597	294391
132	106108	292795
133	106620	291216
134	107191	289814
135	107803	288532
136	108396	287210
137	109011	285957
138	109171	283531
139	109269	280979
140	109913	279850
141	109950	277199
142	110532	275944
143	111128	274734
144	111642	273332
145	112157	271942
146	112722	270686
147	113245	269339
148	113773	268017
149	114297	266693
150	114860	265472
