iter	Passed	Remaining
224	130993	160103
225	131701	159673
226	132380	159205
227	133069	158749
228	133796	158335
229	133920	157210
230	134070	156125
231	134717	155621
232	135395	155153
233	135520	154052
234	136196	153583
235	136498	152693
236	137207	152260
237	137900	151806
238	137980	150681
239	138114	149624
240	138739	149101
241	138871	148052
242	139490	147527
243	140149	147042
244	140817	146564
245	141454	146054
246	142101	145552
247	142340	144636
248	142469	143613
249	142697	142697
250	142875	141737
251	143508	141230
252	144161	140743
253	144803	140242
254	145416	139714
255	145718	138887
256	146358	138385
257	146451	137369
258	147077	136855
259	147711	136349
260	148359	135854
261	148991	135343
262	149090	134351
263	149773	133888
264	150453	133421
265	151110	132932
266	151762	132436
267	152423	131948
268	152619	131059
269	153267	130560
270	153923	130068
271	154352	129383
272	154996	128880
273	155135	127958
274	155899	127553
275	156555	127059
276	156717	126165
277	157431	125718
278	158117	125247
279	158768	124746
280	159414	124241
281	160076	123747
282	160722	123239
283	161347	122714
284	162003	122213
285	162726	121760
286	163384	121257
287	164088	120787
288	164217	119896
289	164397	119046
290	164671	118269
291	165344	117779
292	165989	117269
293	166659	116774
294	167321	116274
295	167988	115776
296	168670	115286
297	169379	114814
298	170041	114308
299	170699	113799
300	171367	113295
301	172055	112804
302	172728	112302
303	173384	111787
304	174055	111281
305	174217	110451
306	174865	109931
307	175129	109171
308	175805	108669
309	175991	107865
310	176658	107358
311	177332	106854
312	177979	106332
313	178654	105827
314	179281	105292
315	179959	104786
316	180584	104249
317	180808	103481
318	181461	102960
319	182087	102423
320	182261	101635
321	182703	100997
322	183345	100471
323	183991	99946
324	184145	99155
325	184799	98635
326	185451	98113
327	185693	97375
328	186329	96846
329	186957	96311
330	187594	95780
331	188304	95286
332	188967	94767
333	189220	94043
334	189910	93537
335	190636	93048
336	191323	92539
337	191751	91904
338	192009	91190
339	192646	90657
340	192735	89867
341	192854	89096
342	193487	88564
343	194188	88062
344	194603	87430
345	195295	86923
346	195952	86399
347	196611	85876
348	197085	85271
349	197761	84754
350	198443	84239
351	200099	84132
352	200629	83548
353	201157	82963
354	203712	83206
355	207703	84014
356	210479	84309
357	212859	84430
358	214422	84216
359	217777	84691
360	222143	85534
361	224453	85565
362	229817	86735
363	233973	87418
364	238049	88045
365	241588	88450
366	243041	88077
367	245977	88231
368	252006	89465
369	256451	90104
370	258921	90029
371	259406	89258
372	259467	88344
373	259956	87578
374	260545	86848
375	261120	86114
376	261698	85381
377	262288	84654
378	263026	83974
379	263912	83340
380	264811	82710
381	265575	82036
382	266343	81363
383	267165	80706
384	267937	80033
385	268220	79215
386	268899	78515
387	269640	77834
388	270396	77156
389	271089	76461
390	271799	75770
391	272546	75089
392	272758	74262
393	273418	73559
394	274100	72862
395	274828	72177
396	275877	71575
397	276877	70958
398	277629	70277
399	278350	69587
400	278485	68753
401	279230	68071
402	279950	67382
403	280653	66690
404	281410	66009
405	282108	65315
406	282838	64629
407	283529	63933
408	284272	63248
409	285007	62562
410	285734	61874
411	286466	61187
412	287185	60496
413	287864	59797
414	288591	59109
415	288777	58310
416	289496	57621
417	290164	56922
418	291144	56283
419	293219	55851
420	293738	55119
421	294233	54384
422	294902	53682
423	295718	53006
424	296298	52287
425	297075	51604
426	297825	50916
427	298609	50233
428	299348	49542
429	300062	48847
430	300265	48070
431	300987	47377
432	301742	46690
433	302486	46000
434	303172	45301
435	303870	44604
436	304297	43868
437	304929	43163
438	305673	42474
439	306350	41775
440	306496	41005
441	307175	40308
442	307864	39612
443	308555	38916
444	309244	38221
445	309930	37525
446	310584	36825
447	311257	36128
448	311930	35430
449	312569	34729
450	313228	34031
451	313864	33330
452	314260	32605
453	314497	31865
454	315454	31198
455	317032	30590
456	317517	29875
457	318035	29164
458	318686	28466
459	319471	27780
460	320288	27095
461	321055	26407
462	321848	25720
463	322674	25035
464	323400	24341
465	324213	23655
466	324891	22958
467	325690	22269
468	326523	21582
469	327346	20894
470	327545	20167
471	328288	19474
472	329059	18783
473	329355	18065
474	330065	17371
475	330752	16676
476	331426	15980
477	332069	15283
478	332703	14586
479	333443	13893
480	334142	13198
481	334771	12501
482	335505	11808
483	336228	11114
484	336957	10421
485	337753	9729
486	338452	9034
487	339181	8340
488	339905	7646
489	340593	6950
490	341294	6255
491	341995	5560
492	342674	4865
493	343390	4170
494	344152	3476
495	344850	2781
496	345577	2085
497	346306	1390
498	346970	695
499	347639	0
